epoch,layer_name,param_mean,param_std,param_min,param_max,param_norm
0,stem.0.weight,0.0016419513849541545,0.20993301272392273,-0.6201712489128113,0.6617012023925781,7.966641426086426
0,stem.0.bias,0.0,0.0,0.0,0.0,0.0
0,tower.0.conv1.weight,-0.0022072771098464727,0.08301486819982529,-0.29790830612182617,0.2950240969657898,7.972244739532471
0,tower.0.conv1.bias,0.0,0.0,0.0,0.0,0.0
0,tower.0.conv2.weight,-0.0004156321519985795,0.08401604741811752,-0.3155670762062073,0.31561923027038574,8.06563949584961
0,tower.0.conv2.bias,0.0,0.0,0.0,0.0,0.0
0,tower.1.conv1.weight,0.000699031981639564,0.08157840371131897,-0.2849336564540863,0.3040251135826111,7.831815242767334
0,tower.1.conv1.bias,0.0,0.0,0.0,0.0,0.0
0,tower.1.conv2.weight,-0.0005597032723017037,0.08381672948598862,-0.31216961145401,0.29268157482147217,8.046586990356445
0,tower.1.conv2.bias,0.0,0.0,0.0,0.0,0.0
0,policy_conv.weight,-0.012205199338495731,0.27296122908592224,-0.982731819152832,0.8385356664657593,6.182579040527344
0,policy_conv.bias,0.0,0.0,0.0,0.0,0.0
0,policy_fc.weight,-0.009320328012108803,0.11838114261627197,-0.37334197759628296,0.3731156885623932,4.274909019470215
0,policy_fc.bias,0.0,0.0,0.0,0.0,0.0
0,value_conv.weight,0.017989356070756912,0.2510407865047455,-0.7592303156852722,0.6995604634284973,8.05390453338623
0,value_conv.bias,0.0,0.0,0.0,0.0,0.0
0,value_fc1.weight,-0.00018002834985964,0.082904152572155,-0.3546431064605713,0.34514814615249634,11.25546932220459
0,value_fc1.bias,0.0,0.0,0.0,0.0,0.0
0,value_fc2.weight,-0.02596486359834671,0.18347877264022827,-0.41923415660858154,0.41940656304359436,1.4824550151824951
0,value_fc2.bias,0.0,0.0,0.0,0.0,0.0
1,stem.0.weight,0.0010130598675459623,0.20988228917121887,-0.6183329224586487,0.659924328327179,7.964565753936768
1,stem.0.bias,-0.001322187832556665,0.00200874381698668,-0.003944044467061758,0.0032928918953984976,0.01360380183905363
1,tower.0.conv1.weight,-0.0021300530061125755,0.08295173197984695,-0.2941848933696747,0.29834890365600586,7.965991020202637
1,tower.0.conv1.bias,0.0001203066494781524,0.002248413860797882,-0.00385071337223053,0.0037848290521651506,0.012737144716084003
1,tower.0.conv2.weight,-0.0008423587423749268,0.08403322100639343,-0.3120720386505127,0.31644853949546814,8.067595481872559
1,tower.0.conv2.bias,-0.000886940979398787,0.0019017213489860296,-0.0038500649388879538,0.0031816137488931417,0.011870243586599827
1,tower.1.conv1.weight,0.0003256391501054168,0.08152128010988235,-0.28737005591392517,0.30120033025741577,7.826106548309326
1,tower.1.conv1.bias,-0.00039966986514627934,0.0019221389666199684,-0.0036654050927609205,0.003560400567948818,0.011105824261903763
1,tower.1.conv2.weight,-0.0008723633363842964,0.08373381942510605,-0.312984436750412,0.29316723346710205,8.038881301879883
1,tower.1.conv2.bias,-0.0005425153649412096,0.0019187567522749305,-0.0037106156814843416,0.0032730523962527514,0.011279645375907421
1,policy_conv.weight,-0.012573333457112312,0.2728291153907776,-0.9794998168945312,0.8349113464355469,6.179969787597656
1,policy_conv.bias,-0.00036864588037133217,0.003408909309655428,-0.00387708842754364,0.003937567584216595,0.013715136796236038
1,policy_fc.weight,-0.009311893954873085,0.11785665899515152,-0.37508493661880493,0.3696552813053131,4.2560625076293945
1,policy_fc.bias,0.0014528381871059537,0.0028844804037362337,-0.0037204327527433634,0.003919229377061129,0.00968910101801157
1,value_conv.weight,0.01767759770154953,0.25102612376213074,-0.762454628944397,0.6998331546783447,8.052729606628418
1,value_conv.bias,-0.00047441129572689533,0.001966442447155714,-0.0031588126439601183,0.003162414999678731,0.011443022638559341
1,value_fc1.weight,-0.00042476149974390864,0.08231648057699203,-0.3534364402294159,0.3482150435447693,11.175803184509277
1,value_fc1.bias,-0.0004448434920050204,0.0017007400747388601,-0.003453673794865608,0.003862932790070772,0.014063632115721703
1,value_fc2.weight,-0.024572553113102913,0.18255043029785156,-0.4164953827857971,0.4198150038719177,1.4735746383666992
1,value_fc2.bias,0.0014813579618930817,0.0,0.0014813579618930817,0.0014813579618930817,0.0014813579618930817
2,stem.0.weight,0.0005046700243838131,0.2097240686416626,-0.6175957918167114,0.6592268943786621,7.958492279052734
2,stem.0.bias,-0.002558850683271885,0.0037914651911705732,-0.010433532297611237,0.006402764469385147,0.02587534859776497
2,tower.0.conv1.weight,-0.0020886673592031,0.08293339610099792,-0.2949675917625427,0.30026525259017944,7.9641313552856445
2,tower.0.conv1.bias,0.00016692571807652712,0.004124130588024855,-0.0084320567548275,0.00742805190384388,0.02334870770573616
2,tower.0.conv2.weight,-0.0012369317701086402,0.0840352475643158,-0.3083907961845398,0.3129628598690033,8.068258285522461
2,tower.0.conv2.bias,-0.0018481118604540825,0.0036470203194767237,-0.00934141967445612,0.006100659724324942,0.02312835492193699
2,tower.1.conv1.weight,0.0002413480542600155,0.08151096850633621,-0.2885068655014038,0.3022975027561188,7.82508659362793
2,tower.1.conv1.bias,-0.0005775187746621668,0.002730518812313676,-0.005334762390702963,0.00501579325646162,0.01578785479068756
2,tower.1.conv2.weight,-0.0013694320805370808,0.08369157463312149,-0.31302937865257263,0.29144737124443054,8.035467147827148
2,tower.1.conv2.bias,-0.0015156867448240519,0.0036085022147744894,-0.008975522592663765,0.007286102510988712,0.022140348330140114
2,policy_conv.weight,-0.013398838229477406,0.2726134657859802,-0.973328709602356,0.8304415345191956,6.1759843826293945
