epoch,layer_name,grad_mean,grad_std,grad_min,grad_max,grad_norm
1,stem.0.weight,0.000608938978984952,0.016970999538898468,-0.06622400134801865,0.05912996456027031,0.6444185376167297
1,stem.0.bias,0.004039335064589977,0.028116457164287567,-0.07499716430902481,0.051860470324754715,0.16068367660045624
1,tower.0.conv1.weight,-0.00044255517423152924,0.01116122305393219,-0.10994544625282288,0.10575409233570099,1.0723193883895874
1,tower.0.conv1.bias,-0.004916701465845108,0.02761155739426613,-0.07920671999454498,0.03563631325960159,0.15865151584148407
1,tower.0.conv2.weight,-0.00016380510351154953,0.009836887009441853,-0.10161802172660828,0.06709057837724686,0.944472074508667
1,tower.0.conv2.bias,0.002494814805686474,0.035032741725444794,-0.09513627737760544,0.08108404278755188,0.19867698848247528
1,tower.1.conv1.weight,-0.0008281723130494356,0.010733180679380894,-0.12152998149394989,0.08040651679039001,1.0334479808807373
1,tower.1.conv1.bias,-0.002679246012121439,0.017528029158711433,-0.05379384756088257,0.028227999806404114,0.10030516982078552
1,tower.1.conv2.weight,0.0010133072501048446,0.009456779807806015,-0.06439327448606491,0.07228369265794754,0.9130475521087646
1,tower.1.conv2.bias,0.008399185724556446,0.029670987278223038,-0.0603434257209301,0.05520012602210045,0.17443980276584625
1,policy_conv.weight,-0.0012048198841512203,0.00966812577098608,-0.04079334810376167,0.0522925890982151,0.22045685350894928
1,policy_conv.bias,-0.001997851300984621,0.015737516805529594,-0.03333686292171478,0.029610291123390198,0.06345529109239578
1,policy_fc.weight,-8.738335055546997e-10,0.010060527361929417,-0.0760030448436737,0.06747175753116608,0.3621789813041687
1,policy_fc.bias,-4.967053879312289e-09,0.02609257772564888,-0.055862173438072205,0.044076815247535706,0.07827772945165634
1,value_conv.weight,0.001664816401898861,0.01442947518080473,-0.06819896399974823,0.08940329402685165,0.46480631828308105
1,value_conv.bias,0.0037427169736474752,0.01776200346648693,-0.03190922364592552,0.06592738628387451,0.10268346220254898
1,value_fc1.weight,0.00029575772350654006,0.008054186590015888,-0.0986788272857666,0.07820967584848404,1.0942094326019287
1,value_fc1.bias,0.0008252350962720811,0.007747167721390724,-0.017007794231176376,0.027436818927526474,0.062327973544597626
1,value_fc2.weight,-0.010635973885655403,0.04747649282217026,-0.1636267900466919,0.11808107048273087,0.38922616839408875
1,value_fc2.bias,-0.025623440742492676,0.0,-0.025623440742492676,-0.025623440742492676,0.025623440742492676
2,stem.0.weight,-0.0010341325541958213,0.014012573286890984,-0.09921107441186905,0.05141323432326317,0.5331858396530151
2,stem.0.bias,-0.007088772486895323,0.03535478934645653,-0.12605072557926178,0.07601580023765564,0.20397740602493286
2,tower.0.conv1.weight,6.705602572765201e-05,0.007644785568118095,-0.08186694979667664,0.06785111129283905,0.7339274883270264
2,tower.0.conv1.bias,0.0008927350863814354,0.020611567422747612,-0.07076708972454071,0.04279571771621704,0.11670593917369843
2,tower.0.conv2.weight,-0.0004505899560172111,0.007008417043834925,-0.07103704661130905,0.04408426210284233,0.6741971373558044
2,tower.0.conv2.bias,-0.004634924232959747,0.03138989955186844,-0.07631579041481018,0.0653831884264946,0.17949336767196655
2,tower.1.conv1.weight,5.067812526249327e-05,0.008816247805953026,-0.06499984115362167,0.05515642836689949,0.8463736772537231
2,tower.1.conv1.bias,-0.00033337296918034554,0.02539617195725441,-0.054268088191747665,0.048389844596385956,0.1436748206615448
2,tower.1.conv2.weight,-0.00019808713113889098,0.007859122939407825,-0.04503024369478226,0.042921245098114014,0.7547153234481812
2,tower.1.conv2.bias,-0.0026652240194380283,0.03167731687426567,-0.06709539890289307,0.05950576439499855,0.17982709407806396
2,policy_conv.weight,-0.0001770968083292246,0.00971269141882658,-0.04139287397265434,0.03627878054976463,0.2198096513748169
2,policy_conv.bias,-0.0005189029034227133,0.018465353175997734,-0.043827228248119354,0.03260475769639015,0.0738905593752861
2,policy_fc.weight,-5.059035967924785e-10,0.008850596845149994,-0.07379154860973358,0.03872842341661453,0.3186214864253998
2,policy_fc.bias,-3.1044085080367267e-09,0.024166904389858246,-0.05297271907329559,0.03218869864940643,0.07250071316957474
2,value_conv.weight,-0.00014443113468587399,0.015955930575728416,-0.061309654265642166,0.08219968527555466,0.5106106996536255
2,value_conv.bias,-0.0012212491128593683,0.029887977987527847,-0.06035845726728439,0.07645046710968018,0.16921302676200867
2,value_fc1.weight,3.1357812986243516e-05,0.008339649997651577,-0.0993870198726654,0.06686322391033173,1.132236123085022
2,value_fc1.bias,9.931137901730835e-05,0.015115100890398026,-0.04838845133781433,0.04202205687761307,0.12092342227697372
2,value_fc2.weight,-0.05069573223590851,0.06966102868318558,-0.2682454586029053,0.032733455300331116,0.6892415285110474
2,value_fc2.bias,-0.15007080137729645,0.0,-0.15007080137729645,-0.15007080137729645,0.15007080137729645
